0--8.99305e-005-Jerome Felton--0.000133808
1--9.14945e-005-Matt Forte--0.996563
2--9.14945e-005-Matt Forte--0.989793
3--0.000102443-Chris Johnson--6.87889e-007
4--0.000102443-Chris Johnson--7.57032e-009
5--0.000102443-Chris Johnson--7.3068e-007
6--0.000102443-Chris Johnson--0.000160652
7--0.000361677-Jamaal Charles--2.17178e-007
8--0.000361677-Jamaal Charles--0.00239005
9--0.000361677-Jamaal Charles--4.34216e-014
10--0.000361677-Jamaal Charles--1.9817e-008
11--0.000362459-Justin Forsett--1.88369e-007
12--0.000362459-Justin Forsett--9.91925e-008
13--0.000362459-Justin Forsett--6.08448e-008
14--0.000362459-Justin Forsett--5.44963e-007
15--0.000371061-Jonathan Stewart--0.0013197
16--0.000371061-Jonathan Stewart--0.983919
17--0.000371061-Jonathan Stewart--0.00270902
18--0.000371061-Jonathan Stewart--0.98876
19--0.00169187-Danny Woodhead--1.39328e-010
20--0.00169187-Danny Woodhead--3.17554e-007
21--0.00171376-Tim Hightower--0.00125902
22--0.00171376-Tim Hightower--0.000113134
23--0.00171376-Tim Hightower--8.28842e-005
24--0.00171376-Tim Hightower--2.08655e-005
25--0.027896-Rashad Jennings--0.0132725
26--0.027896-Rashad Jennings--0.00832155
27--0.027896-Rashad Jennings--5.28367e-005
28--0.027896-Rashad Jennings--5.2222e-009
29--0.0311062-Arian Foster--2.04865e-006
30--0.0311062-Arian Foster--1.05305e-005
31--0.0311062-Arian Foster--2.32412e-007
32--0.0311062-Arian Foster--1.77907e-006
33--0.0311265-LeSean McCoy--0.985826
34--0.0311265-LeSean McCoy--0.998195
35--0.0311265-LeSean McCoy--0.0097683
36--0.0311265-LeSean McCoy--0.00251928
37--0.0351112-Antone Smith--1.86244e-009
38--0.194385-Joique Bell--2.29496e-007
39--0.194385-Joique Bell--0.00039552
40--0.194385-Joique Bell--9.29501e-007
41--0.194385-Joique Bell--7.99198e-007
42--0.194386-LeGarrette Blount--0.00895654
43--0.194386-LeGarrette Blount--0.013956
44--0.194386-LeGarrette Blount--0.9955
45--0.194386-LeGarrette Blount--0.00185383
46--0.194402-Ryan Mathews--8.26337e-007
47--0.194402-Ryan Mathews--2.60787e-005
48--0.194402-Ryan Mathews--1.69376e-007
49--0.194402-Ryan Mathews--0.0109625
50--0.194402-Dexter McCluster--1.034e-006
51--0.194402-Dexter McCluster--9.46398e-008
52--0.194402-Dexter McCluster--3.65041e-008
53--0.194402-Dexter McCluster--6.87003e-008
54--0.194408-C.J. Spiller--4.4921e-005
55--0.194408-C.J. Spiller--0.00370525
56--0.194408-C.J. Spiller--7.84529e-011
57--0.194408-C.J. Spiller--9.18511e-006
58--0.194409-James Starks--1.30108e-005
59--0.194409-James Starks--6.55494e-008
60--0.194409-James Starks--0.00800698
61--0.194409-James Starks--0.000257695
62--0.975631-DeMarco Murray--0.00377235
63--0.975631-DeMarco Murray--0.0175498
64--0.975631-DeMarco Murray--0.968624
65--0.975631-DeMarco Murray--0.999967
66--0.975651-Matt Asiata--0.963121
67--0.975651-Matt Asiata--0.000797629
68--0.975651-Matt Asiata--0.00287899
69--0.975651-Matt Asiata--3.12168e-006
70--0.975678-Bilal Powell--0.0144435
71--0.975678-Bilal Powell--0.0197961
72--0.975678-Bilal Powell--0.00184487
73--0.975678-Bilal Powell--1.74336e-006
74--0.975683-Anthony Sherman--2.57737e-006
75--0.975683-Anthony Sherman--0.000120453
76--0.975683-Anthony Sherman--4.58073e-006
77--0.975683-Anthony Sherman--5.8689e-005
78--0.97573-Shaun Draughn--2.55577e-005
79--0.97573-Shaun Draughn--0.00499809
80--0.97573-Shaun Draughn--7.30691e-005
81--0.97573-Shaun Draughn--1.9446e-006
82--0.975732-Mark Ingram--0.00594444
83--0.975732-Mark Ingram--0.00062951
84--0.975732-Mark Ingram--0.00258842
85--0.975732-Mark Ingram--0.0137753
86--0.975733-Taiwan Jones--1.77352e-006
87--0.975733-Taiwan Jones--4.39079e-008
88--0.975733-Taiwan Jones--3.32541e-007
89--0.975734-Jacquizz Rodgers--1.74304e-005
90--0.975734-Jacquizz Rodgers--1.72445e-008
91--0.975734-Jacquizz Rodgers--0.98381
92--0.975734-Jacquizz Rodgers--8.47822e-006
93--0.975735-Jordan Todman--0.000104942
94--0.975735-Jordan Todman--3.98985e-005
95--0.975735-Jordan Todman--4.89625e-006
96--0.975735-Jordan Todman--2.61913e-006
97--0.975735-Shane Vereen--4.67306e-006
98--0.975735-Shane Vereen--0.001326
99--0.975735-Shane Vereen--1.74945e-008
100--0.975933-DeAngelo Williams--4.69058e-009
101--0.975933-DeAngelo Williams--4.57409e-008
102--0.975933-DeAngelo Williams--2.00326e-005
103--0.975933-DeAngelo Williams--3.36191e-008
104--0.979909-John Kuhn--0.000932397
105--0.979909-John Kuhn--1.14129e-005
106--0.979909-John Kuhn--8.80846e-006
107--0.979909-John Kuhn--9.57085e-012
108--0.980009-Frank Gore--0.00390165
109--0.980009-Frank Gore--0.00387459
110--0.980009-Frank Gore--0.000890471
111--0.980009-Frank Gore--0.0173365
112--0.980034-Darren Sproles--0.0165884
113--0.980034-Darren Sproles--1.2738e-006
114--0.980034-Darren Sproles--9.04953e-007
115--0.980034-Darren Sproles--1.17649e-006
116--0.980193-Reggie Bush--2.20259e-006
117--0.980193-Reggie Bush--8.88227e-005
118--0.980193-Reggie Bush--0.00444364
119--0.980193-Reggie Bush--2.12931e-006
120--0.980306-Adrian Peterson--8.04475e-005
121--0.980306-Adrian Peterson--7.3442e-007
122--0.98041-Mike Tolbert--1.68759e-006
123--0.98041-Mike Tolbert--1.83074e-005
124--0.98041-Mike Tolbert--8.03822e-007
125--0.98041-Mike Tolbert--2.33442e-006
126--0.980633-Chris Ivory--0.00653582
127--0.980633-Chris Ivory--1.07749e-005
128--0.980633-Chris Ivory--0.00151045
129--0.980633-Chris Ivory--0.000664208
130--0.980673-James Develin--2.12732e-005
131--0.980673-James Develin--1.4933e-006
132--0.980673-James Develin--0.000196247
133--0.989505-DuJuan Harris--1.1446e-006
134--0.989534-Patrick DiMarco--3.28627e-005
135--0.989534-Patrick DiMarco--0.00198063
136--0.989534-Patrick DiMarco--5.72473e-005
137--0.989534-Patrick DiMarco--7.59508e-008
138--0.990329-Brandon Bolden--4.96859e-005
139--0.990329-Brandon Bolden--1.73851e-006
140--0.990329-Brandon Bolden--2.64553e-007
141--0.990329-Brandon Bolden--3.31325e-007
142--0.990369-Doug Martin--0.000826583
143--0.990369-Doug Martin--0.000352572
144--0.990379-Isaiah Pead--0.00264674
145--0.990379-Isaiah Pead--1.61134e-005
146--0.990379-Isaiah Pead--1.19222e-008
147--0.990379-Isaiah Pead--9.39716e-008
148--0.990422-Lamar Miller--0.00980798
149--0.990422-Lamar Miller--0.982149
150--0.990422-Lamar Miller--1.30006e-006
151--0.990422-Lamar Miller--0.0129034
152--0.990579-Ronnie Hillman--1.06873e-006
153--0.990587-Alfred Morris--0.000113898
154--0.990587-Alfred Morris--1.36124e-006
155--0.990587-Alfred Morris--2.25976e-005
156--0.990587-Alfred Morris--0.000349875
157--0.990588-Robert Turbin--0.0237106
158--0.990588-Robert Turbin--3.25673e-005
159--0.990588-Robert Turbin--5.75573e-007
160--0.990588-Robert Turbin--0.00535087
161--0.991023-Bobby Rainey--6.33342e-005
162--0.991023-Bobby Rainey--1.12314e-005
163--0.991023-Bobby Rainey--6.83822e-007
164--0.991023-Bobby Rainey--4.71754e-008
165--0.9911-Jonathan Grimes--2.75856e-006
166--0.9911-Jonathan Grimes--1.08623e-007
167--0.9911-Jonathan Grimes--1.22745e-007
168--0.991108-Daryl Richardson--1.88983e-006
169--0.991108-Daryl Richardson--8.22771e-007
170--0.991108-Daryl Richardson--3.82665e-007
171--0.991467-Lance Dunbar--8.00226e-006
172--0.991467-Lance Dunbar--5.21668e-006
173--0.991467-Lance Dunbar--7.2383e-007
174--0.991467-Lance Dunbar--5.1479e-007
175--0.991538-Travaris Cadet--9.23361e-006
176--0.991538-Travaris Cadet--5.35939e-006
177--0.991538-Travaris Cadet--4.60608e-007
178--0.991538-Travaris Cadet--0.00210584
179--0.991599-Jamize Olawale--0.000926284
